,título,título_original,año,duración,país,dirección,guion,reparto,productora,género,sinopsis,premios,puntuación_fa,votos_fa,puntuación_positiva,puntuación_neutral,puntuación_negativa,portada_url,portada_local,puntuación_imdb,votos_imdb
108,Plácido,Plácido,1961,85 min.,España,Luis García Berlanga,"Rafael Azcona, Luis García Berlanga, José Luis Colina, José Luis Font","Cassen, José Luis López Vázquez, Elvira Quintilla, Amelia de la Torre, Julia Caba Alba, Amparo Soler Leal, Manuel Alexandre, Mari Carmen Yepes, Agustín González, Luis Ciges, Antonio Ferrandis",Jet Films (Productor: Alfredo Matas),Comedia | Pobreza. Navidad. Sátira,"En una pequeña ciudad provinciana, a unas burguesas ociosas se les ocurre la idea de organizar una campaña navideña cuyo lema es: ""Siente a un pobre a su mesa"". Se trata de que los más necesitados compartan la cena de Nochebuena con familias acomodadas y disfruten del calor y el afecto que no tienen. Plácido ha sido contratado para participar con su motocarro en la cabalgata, pero surge un problema que le impide centrarse en su trabajo: ese mismo día vence la primera letra del vehículo, que es su único medio de vida. (FILMAFFINITY)","['1961: Nominada al Oscar: Mejor película de habla no inglesa', '1962: Festival de Cannes: Nominada a la Palma de Oro (mejor película)']",8.1,18327,,,,https://pics.filmaffinity.com/placido-674278117-mmed.jpg,../images/Plcido1961.jpg,7.9,2789
109,El tesoro de Sierra Madre,The Treasure of the Sierra Madre,1948,126 min.,Estados Unidos,John Huston,John Huston (Novela: Bruno Traven),"Humphrey Bogart, Walter Huston, Tim Holt, Bruce Bennett, Barton MacLane, Alfonso Bedoya, Arturo Soto Rangel, Manuel Dondé, José Torvay, Margarito Luna",Warner Bros.,Aventuras. Western | Años 20,"Año 1925. Fred C. Dobbs (Humphrey Bogart) decide ir a Tampico en busca de oro para salir de la miseria. Emprende el viaje con otros dos vagabundos (Walter Huston y Tim Holt), pero la codicia y la envidia que surge entre ellos les creará más problemas que cualquier dificultad del camino. (FILMAFFINITY)","['1948: 3 Oscars: Mejor director, actor secundario (Walter Huston), guión. 4 nominaciones', '1948: 3 Globos de Oro, incluyendo Mejor película - Drama', '1949: Premios BAFTA: Nominada a mejor película', '1948: Círculo de Críticos de Nueva York: Mejor película y mejor director', '1948: Sindicato de Guionistas (WGA): Mejor guión Western. 2 nominaciones']",8.1,14674,8,1,0,https://pics.filmaffinity.com/the_treasure_of_the_sierra_madre-240833935-mmed.jpg,../images/EltesorodeSierraMadre1948.jpg,8.2,115431
110,Los sobornados,The Big Heat,1953,90 min.,Estados Unidos,Fritz Lang,Sydney Boehm (Novela: William P. McGivern),"Glenn Ford, Gloria Grahame, Lee Marvin, Jocelyn Brando, Alexander Scourby, Jeanette Nolan, Peter Whitney, Willis Bouchey, Robert Burton, Adam Williams, Howard Wendell, Chris Alcaide",Columbia Pictures,Cine negro. Intriga. Thriller | Policíaco. Crimen,"Tras suicidarse, el policía Tom Duncan deja una carta en la que confiesa haberse dejado sobornar por una banda de gángsters, pero también denuncia la corrupción de altos funcionarios. Cuando el sargento Dave Bannion trata de esclarecer su muerte tropieza con toda clase de obstáculos. (FILMAFFINITY)",,8.1,10775,10,0,0,https://pics.filmaffinity.com/the_big_heat-946298577-mmed.jpg,../images/Lossobornados1953.jpg,8.0,23983
111,Capitanes intrépidos,Captains Courageous,1937,116 min.,Estados Unidos,Victor Fleming,"John Lee Mahin, Marc Connelly, Dale Van Every (Libro: Rudyard Kipling)","Spencer Tracy, Freddie Bartholomew, Lionel Barrymore, Melvyn Douglas, Mickey Rooney, John Carradine, Dennis O'Keefe",Metro-Goldwyn-Mayer (MGM),Aventuras. Drama | Aventuras marinas. Amistad. Pesca. Infancia,"Harvey Cheyne (Freddie Bartholomew) es un caprichoso y malcriado niño rico que está haciendo un crucero con su padre. Inesperadamente, cae por la borda del yate y es rescatado por un barco de pesca al mando de un intrépido capitán (Lionel Barrymore). El pesquero tiene que acabar la larga campaña de pesca antes de llevar al chico a tierra firme. Harvey, al principio a regañadientes, conseguirá adaptarse a la dura vida en alta mar gracias a su íntima relación con Manuel (Spencer Tracy), un bondadoso marinero portugués que ejercerá sobre el niño una benéfica influencia. (FILMAFFINITY)","['1937: Oscar: Mejor actor (Spencer Tracy). 4 nominaciones', '1937: Círculo de Críticos de Nueva York: Nom. mejor película, director y actor (Tracy)']",8.1,7319,6,1,0,https://pics.filmaffinity.com/captains_courageous-811175496-mmed.jpg,../images/Capitanesintrpidos1937.jpg,8.0,8860
112,Dies irae,Vredens dag,1943,105 min.,Dinamarca,Carl Theodor Dreyer,"Carl Theodor Dreyer, Poul Knudsen, Mogens Skot-Hansen (Obra: Hans Wiers Jenssen)","Thorkild Roose, Lisbeth Movin, Sigrid Neiiendam, Preben Lerdorff Rye, Anna Svierkier, Albert Hoeberg",Palladium Productions,Drama | Siglo XVII. Religión. Brujería. Vida rural,"Dinamarca, 1623. En plena caza de brujas, Absalom, un viejo sacerdote, promete a una mujer condenada a muerte que salvará a su hija Anne de la hoguera si la joven accede a casarse con él. Según la ley, las descendientes de las brujas también deben arder en una pira. Meret, la anciana madre de Absalom, desaprueba desde el principio el matrimonio. Cuando Martin, el hijo de Absalom, regresa a casa para conocer a su madrastra, se enamorará de ella y ambos compartirán una relación prohibida que tendrá inesperadas consecuencias. (FILMAFFINITY)",['1948: National Board of Review: Mejores 10 películas del año'],8.1,5661,7,1,0,https://pics.filmaffinity.com/vredens_dag-547750005-mmed.jpg,../images/Diesirae1943.jpg,8.1,9330
113,Reservoir Dogs,Reservoir Dogs,1992,99 min.,Estados Unidos,Quentin Tarantino,Quentin Tarantino,"Tim Roth, Harvey Keitel, Chris Penn, Steve Buscemi, Michael Madsen, Lawrence Tierney, Randy Brooks, Kirk Baltz, Edward Bunker, Quentin Tarantino, Burr Steers","Live Entertainment, Dog Eat Dog Productions",Thriller. Acción | Crimen. Neo-noir. Robos & Atracos. Cine independiente USA. Película de culto,"Una banda organizada es contratada para atracar una empresa y llevarse unos diamantes. Sin embargo, antes de que suene la alarma, la policía ya está allí. Algunos miembros de la banda mueren en el enfrentamiento con las fuerzas del orden, y los demás se reúnen en el lugar convenido. (FILMAFFINITY)","['1992: Festival de Toronto: Premio FIPRESCI', '1992: Premios Independent Spirit: Mejor actor secundario (Buscemi). 3 nominaciones', '1992: Círculo de Críticos de Nueva York: Nominada mejor director novel y actor (Keitel)', '1992: Asociación de Críticos de Chicago: Nominada a Mejor película y Mejor director', '1992: Festival de Sitges: Mejor director, mejor guión']",8.1,133890,13,1,0,https://pics.filmaffinity.com/reservoir_dogs-904905830-mmed.jpg,../images/ReservoirDogs1992.jpg,8.3,929010
114,Los santos inocentes,Los santos inocentes,1984,103 min.,España,Mario Camus,"Mario Camus, Antonio Larreta, Manuel Matji (Novela: Miguel Delibes)","Alfredo Landa, Francisco Rabal, Juan Diego, Terele Pávez, Belén Ballesteros, Juan Sanchez, Ágata Lys, Agustín González, Manuel Zarzo, Mary Carrillo, José Guardiola, Maribel Martín",Ganesh,Drama | Drama social. Vida rural. Años 60. Caza,"España franquista. Durante la década de los sesenta, una familia de campesinos vive miserablemente en un cortijo extremeño bajo la férula del terrateniente. Su vida es renuncia, sacrificio y y obediencia. Su destino está marcado, a no ser que algún acontecimiento imprevisto les permita romper sus cadenas. Adaptación de la novela homónima de Miguel Delibes. (FILMAFFINITY)","['1984: Cannes: Mejor Actor (ex aequo: Francisco Rabal y Alfredo Landa)', '1985: Círculo de Escritores Cinematográficos, España: Mejor Película', '1986: Premios ACE: Mejor Actor (Alfredo Landa)']",8.1,40738,6,1,0,https://pics.filmaffinity.com/los_santos_inocentes-214778316-mmed.jpg,../images/Lossantosinocentes1984.jpg,8.1,3407
115,Primera plana,The Front Page,1974,105 min.,Estados Unidos,Billy Wilder,"Billy Wilder, I.A.L. Diamond (Obra: Ben Hecht, Charles MacArthur)","Jack Lemmon, Walter Matthau, Susan Sarandon, Vincent Gardenia, David Wayne, Allen Garfield, Austin Pendleton, Charles Durning, Herb Edelman, Martin Gabel, Harold Gould, Cliff Osmond, Dick O´Neill, Jon Korkes, Lou Frizzell, Paul Benedict, Doro Merande, Noam Pitlik, Joshua Shelley, Allen Jenkins, John Furlong, Biff Elliot, Barbara Davis, Leonard Bremen, Carol Burnett",Universal Pictures,Comedia | Sátira. Periodismo. Años 20. Remake,"Chicago, 1929. Earl Williams, convicto del asesinato de un policía, espera en la cárcel el momento de su ejecución. Mientras tanto, en la sala de prensa del Tribunal Supremo, un grupo de periodistas espera el indulto o la confirmación de la sentencia. Hildy Johnson, el cronista de sucesos del Chicago Examiner, que tendría que cubrir la información, está a punto de contraer matrimonio y abandonar su trabajo; pero Walter Burns, el maquiavélico director del periódico, empeñado en retenerlo, tratará de impedir su boda por todos los medios. (FILMAFFINITY)","['1974: Globos de Oro: 3 nominaciones, incluyendo mejor película comedia/musical', '1974: Sindicato de Guionistas (WGA): Nominada a Mejor guión adaptado comedia', '1974: 2 Premios David di Donatello, incluyendo a mejor director extranjero', '']",8.1,24305,3,3,1,https://pics.filmaffinity.com/the_front_page-179622438-mmed.jpg,../images/Primeraplana1974.jpg,7.3,12671
116,Secretos de un matrimonio,Scener ur ett äktenskap,1974,168 min.,Suecia,Ingmar Bergman,Ingmar Bergman,"Liv Ullmann, Erland Josephson, Bibi Andersson, Jan Malmsjö, Anita Wall, Gunnel Lindblom",Cinematograph AB,Drama | Drama psicológico,"El matrimonio formado por Johan, profesor de psicología, y Marianne, abogada, recibe una noche en su casa la visita de sus amigos Peter y Katerina. Al poco tiempo, los invitados empiezan una fuerte discusión en la que los anfitriones intentan mediar sin éxito alguno. Cuando se quedan solos, Johan y Marianne empiezan a hablar de su matrimonio y de sus problemas. (FILMAFFINITY)","['1975: Premios BAFTA: Nominada a Mejor actriz (Liv Ullman)', '1974: Globo de Oro: Mejor película extranjera. Nominada a Mejor actriz (Liv Ullman)', '1974: Círculo de Críticos de Nueva York: Mejor actriz (Ullman) y mejor guión. 5 nominaciones', '1974: Premios David di Donatello: Mejor actriz extranjera (Liv Ullman)']",8.1,5557,3,1,1,https://pics.filmaffinity.com/scener_ur_ett_aktenskap-939803483-mmed.jpg,../images/Secretosdeunmatrimonio1974.jpg,,
117,El club de la lucha,Fight Club,1999,139 min.,Estados Unidos,David Fincher,Jim Uhls (Novela: Chuck Palahniuk),"Edward Norton, Brad Pitt, Helena Bonham Carter, Meat Loaf, Jared Leto, Van Quattro, Markus Redmond, Michael Girardin, Rachel Singer, Eion Bailey, David Lee Smith, Zach Grenier, Richmond Arquette, David Andrews, George Maguire, Eugenie Bondurant, Christina Cabot, Sydney 'Big Dawg' Colston, Tim De Zarn, Christie Cronenweth, Ezra Buzzington, Dierdre Downing-Jackson, Bob Stephenson, Charlie Dell, Rob Lanza, Holt McCallany, Joel Bissonnette","Fox 2000 Pictures, Regency Enterprises, Linson Films, Atman Entertainment, Knickerbocker Films, Taurus Film",Drama. Thriller | Sátira. Drama psicológico. Película de culto. Comedia negra,"Un joven hastiado de su gris y monótona vida lucha contra el insomnio. En un viaje en avión conoce a un carismático vendedor de jabón que sostiene una teoría muy particular: el perfeccionismo es cosa de gentes débiles; sólo la autodestrucción hace que la vida merezca la pena. Ambos deciden entonces fundar un club secreto de lucha, donde poder descargar sus frustaciones y su ira, que tendrá un éxito arrollador. (FILMAFFINITY)",['1999: Nominada al Oscar: Mejores efectos de sonido'],8.1,183105,9,1,5,https://pics.filmaffinity.com/fight_club-320750671-mmed.jpg,../images/Elclubdelalucha1999.jpg,8.8,1877490
118,El caballero oscuro,The Dark Knight,2008,152 min.,Estados Unidos,Christopher Nolan,"Christopher Nolan, David S. Goyer, Jonathan Nolan (Personajes: Bob Kane)","Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine, Gary Oldman, Morgan Freeman, Maggie Gyllenhaal, Eric Roberts, Cillian Murphy, Chin Han, Michael Jai White, William Fichtner, Monique Gabriela Curnen, Nestor Carbonell, Ritchie Coster, Keith Szarabajka, Colin McFarlane, Joshua Harto, Melinda McGraw, Ron Dean, Nathan Gamble, Tommy 'Tiny' Lister, David Dastmalchian","Co-production Estados Unidos-Reino Unido; Warner Bros., Legendary Pictures",Thriller. Acción. Drama | Superhéroes. Cómic. DC Comics. Secuela. Película de culto,"Batman/Bruce Wayne (Christian Bale) regresa para continuar su guerra contra el crimen. Con la ayuda del teniente Jim Gordon (Gary Oldman) y del Fiscal del Distrito Harvey Dent (Aaron Eckhart), Batman se propone destruir el crimen organizado en la ciudad de Gotham. El triunvirato demuestra su eficacia, pero, de repente, aparece Joker (Heath Ledger), un nuevo criminal que desencadena el caos y tiene aterrados a los ciudadanos. (FILMAFFINITY)","['2008: 2 Oscar: Mejor actor sec. (H. Ledger) y montaje sonido. 8 nominaciones', '2008: Globo de Oro: Mejor actor secundario (Heath Ledger)', '2008: Premios BAFTA: Mejor actor secundario (Heath Ledger). 9 nominaciones', '2008: Festival de Toronto: Mejor actor secundario (Heath Ledger)', '2008: Círculo de Críticos de Nueva York: Nom. a mejor actor sec. (Ledger) y fotografía', '2008: Asociación de Críticos de Los Angeles: Mejor actor secundario (H. Ledger)', '2008: National Board of Review: Top Ten Films', '2008: American Film Institute (AFI): Top 10 - Mejores películas del año', ""2008: 2 Critics' Choice Awards: Mejor película de acción, actor secundario. 6 nom."", '2008: Asociación de Críticos de Chicago: Mejor actor sec. (Ledger). 6 nominaciones', '2008: Asociación de Críticos de Boston: Mejor actor secundario (Heath Ledger)', '2008: Sindicato de Productores (PGA): Nominada a Mejor película', '2008: Sindicato de Directores (DGA): Nominada a Mejor director', '2008: Sindicato de Guionistas (WGA): Nominada a Mejor guión adaptado', '2008: Sindicato de Actores (SAG): Mejor actor sec. (Ledger) y especialistas de acción', '2008: Premios Goya: Nominada a la mejor Película Europea']",8.1,150558,18,2,0,https://pics.filmaffinity.com/the_dark_knight-102763119-mmed.jpg,../images/Elcaballerooscuro2008.jpg,9.0,2335983
119,Blade Runner,Blade Runner,1982,117 min.,Estados Unidos,Ridley Scott,"David Webb Peoples, Hampton Fancher (Novela: Philip K. Dick)","Harrison Ford, Rutger Hauer, Sean Young, Daryl Hannah, Edward James Olmos, Joanna Cassidy, Brion James, Joe Turkel, M. Emmet Walsh, William Sanderson, James Hong, Morgan Paull, Hy Pyke","Warner Bros., Ladd Company, Shaw Brothers",Ciencia ficción. Acción | Neo-noir. Thriller futurista. Cyberpunk. Distopía. Robots. Película de culto,"Noviembre de 2019. A principios del siglo XXI, la poderosa Tyrell Corporation creó, gracias a los avances de la ingeniería genética, un robot llamado Nexus 6, un ser virtualmente idéntico al hombre pero superior a él en fuerza y agilidad, al que se dio el nombre de Replicante. Estos robots trabajaban como esclavos en las colonias exteriores de la Tierra. Después de la sangrienta rebelión de un equipo de Nexus-6, los Replicantes fueron desterrados de la Tierra. Brigadas especiales de policía, los Blade Runners, tenían órdenes de matar a todos los que no hubieran acatado la condena. Pero a esto no se le llamaba ejecución, se le llamaba ""retiro"". Tras un grave incidente, el ex Blade Runner Rick Deckard es llamado de nuevo al servicio para encontrar y ""retirar"" a unos replicantes rebeldes. (FILMAFFINITY)","['1982: 2 nominaciones al Oscar: Mejor dirección artística, efectos visuales', '1982: Nominada al Globo de Oro: Mejor banda sonora original', '1983: 3 BAFTA: Fotografía, vestuario y diseño de producción. 8 nominaciones', '1982: Círculo de Críticos de Nueva York: Nominada a mejor fotografía', '1982: Asociación de Críticos de Los Angeles: Mejor fotografía', '']",8.1,133289,13,2,2,https://pics.filmaffinity.com/blade_runner-351607743-mmed.jpg,../images/BladeRunner1982.jpg,8.1,700702
120,Sopa de ganso,Duck Soup,1933,70 min.,Estados Unidos,Leo McCarey,"Bert Kalmar, Harry Ruby","The Marx Brothers, Groucho Marx, Harpo Marx, Chico Marx, Zeppo Marx, Margaret Dumont, Louis Calhern, Raquel Torres, Edgar Kennedy, Dennis O'Keefe",Paramount Pictures,Comedia. Musical,"La República Democrática de Freedonia, un pequeño país centroeuropeo, a cuyo frente se encuentra el muy liberal señor Rufus T. Firefly, se ve amenazada por la dictadura de Sylvania, país de vieja y reconocida solvencia como agresor. Dos espías de prestigio, Chicolini y Pinky, sirven a Sylvania, lo que no impide que acaben siendo ministros del ahora ya excelentísimo Firefly. (FILMAFFINITY)",,8.1,38892,9,1,0,https://pics.filmaffinity.com/duck_soup-182448526-mmed.jpg,../images/Sopadeganso1933.jpg,7.8,55885
121,La noche del cazador,The Night of the Hunter,1955,93 min.,Estados Unidos,Charles Laughton,James Agee (Novela: Davis Grubb),"Robert Mitchum, Billy Chapin, Sally Ann Bruce, Shelley Winters, Lillian Gish, Peter Graves, Evelyn Varden, James Gleason",United Artists,Intriga. Drama. Cine negro. Thriller | Vida rural (Norteamérica). Drama sureño. Infancia,"Tras realizar un atraco en el que han muerto dos personas, Ben Harper regresa a su casa y esconde el botín confiando el secreto a sus hijos. En la cárcel, antes de ser ejecutado, comparte celda con Harry Powell y en sueños habla del dinero. Tras ser puesto en libertad, Powell, obsesionado por apoderarse del botín, va al pueblo de Harper, enamora a su viuda y se casa con ella. (FILMAFFINITY)",,8.1,29952,14,1,0,https://pics.filmaffinity.com/the_night_of_the_hunter-160734685-mmed.jpg,../images/Lanochedelcazador1955.jpg,8.0,82749
